cycle,games,decisive_games,avg_turns,avg_duration_secs,p0_success_avg,p1_success_avg,buffer_count,train_loss,policy_loss,value_loss
271,48,13,9.9583,4.9015,1.2500,1.2708,120000,1.857687,1.173012,0.685027
272,48,20,10.2083,5.1142,1.4583,1.6042,120000,1.848156,1.167621,0.680885
273,48,16,9.8542,5.1134,1.2500,1.5000,120000,1.843681,1.161054,0.682976
274,48,22,9.3125,4.7353,1.3750,1.6667,120000,1.854983,1.172791,0.682544
275,48,16,10.1458,4.8873,1.4792,1.3333,120000,1.872281,1.189616,0.683021
276,48,16,10.3333,5.0991,1.6042,1.4375,120000,1.853634,1.171491,0.682495
277,48,22,9.4167,4.8902,1.7083,1.2500,120000,1.834138,1.153425,0.681059
278,48,17,10.2083,5.3006,1.3750,1.4167,120000,1.872043,1.189065,0.683333
279,48,16,10.2292,5.0660,1.1875,1.7500,120000,1.866965,1.186740,0.680581
280,48,20,10.1250,5.0015,1.6250,1.4583,120000,1.845541,1.163493,0.682396
281,48,16,10.3333,5.1041,1.3542,1.5000,120000,1.858892,1.176300,0.682945
282,48,20,9.8542,5.1605,1.5000,1.3958,120000,1.853633,1.175844,0.678141
283,48,11,10.5833,5.1185,1.4167,1.2917,120000,1.860424,1.179027,0.681751
284,48,20,9.9792,4.8098,1.5000,1.5833,120000,1.862852,1.183523,0.679684
285,48,16,9.9167,4.8208,1.4375,1.2083,120000,1.853121,1.174588,0.678885
286,48,22,9.9375,4.9108,1.2917,1.8333,120000,1.845017,1.169087,0.676281
287,48,13,10.0417,4.9685,1.3542,1.4792,120000,1.866699,1.187672,0.679384
288,48,14,10.3542,5.1230,1.1875,1.5833,120000,1.855589,1.180570,0.675373
289,48,18,9.9792,5.0230,1.3750,1.5208,120000,1.864743,1.187115,0.677983
290,48,17,10.1250,4.9255,1.2500,1.5417,120000,1.853488,1.175764,0.678077
291,48,17,10.1250,5.1289,1.7917,1.3542,120000,1.847760,1.174542,0.673570
292,48,20,9.8750,4.9203,1.4375,1.7500,120000,1.864365,1.190659,0.674064
293,48,16,10.2500,5.1712,1.2083,1.2500,120000,1.863533,1.186102,0.677788
294,48,21,9.8333,4.7848,1.4583,1.4167,120000,1.859631,1.185631,0.674356
295,48,14,9.9375,4.9980,1.5208,1.1458,120000,1.858318,1.185247,0.673427
296,48,17,9.9792,4.9232,1.4583,1.2708,120000,1.857844,1.184660,0.673539
297,48,17,9.8750,4.9337,1.2917,1.3333,120000,1.855425,1.179990,0.675789
298,48,14,9.7500,4.9274,1.2083,1.5417,120000,1.846001,1.173803,0.672550
299,48,20,9.7917,4.9119,1.3125,1.5417,120000,1.841203,1.167409,0.674144
300,48,11,10.4583,4.8146,1.5417,1.4167,120000,1.852817,1.179636,0.673535
301,48,12,10.5000,5.2267,1.4583,1.1667,120000,1.857298,1.188119,0.669535
302,48,13,10.0000,4.8671,1.3333,1.3750,120000,1.851541,1.177562,0.674332
303,48,14,10.4167,4.9979,1.5625,1.3125,120000,1.840239,1.167187,0.673402
304,48,11,10.4375,5.1845,1.3750,1.3333,120000,1.858078,1.180653,0.677780
305,48,19,10.2292,5.1104,1.5208,1.3958,120000,1.851438,1.176748,0.675043
306,48,22,9.9167,4.8967,1.5208,1.4167,120000,1.844857,1.167689,0.677519
307,48,18,9.5625,4.8688,1.5625,1.4375,120000,1.855021,1.180756,0.674619
308,48,15,10.3333,5.1826,1.2083,1.5208,120000,1.866770,1.187075,0.680051
309,48,16,10.3750,5.4071,1.4167,1.3958,120000,1.865766,1.186602,0.679519
310,48,14,9.6458,4.8948,1.3750,1.1458,120000,1.844205,1.168822,0.675734
311,48,13,10.2083,4.9333,1.1042,1.5833,120000,1.850459,1.175331,0.675480
312,48,17,9.8958,5.0075,1.3542,1.5833,120000,1.850880,1.174769,0.676464
